quote,author,likes,tags
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”","J.K. Rowling,",50707,
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,49862,
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,49684,
“It does not do to dwell on dreams and forget to live.”,"J.K. Rowling,",48394,
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,46983,
"“As he read, I fell in love the way you fall asleep: slowly, and then all at once.”","John Green,",46888,
"“We are all in the gutter, but some of us are looking at the stars.”","Oscar Wilde,",46175,
"“Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”","Neil Gaiman,",45494,
"“The fool doth think he is wise, but the wise man knows himself to be a fool.”","William Shakespeare,",45057,
"“It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.”","Maurice Switzer,",44309,
"“Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).”",Mark Twain,43839,
“Life is what happens to us while we are making other plans.”,Allen Saunders,43572,
"“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”",Bill Keane,42573,
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,42142,
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,42066,
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,41769,
“The man who does not read has no advantage over the man who cannot read.”,Mark Twain,40829,
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,40734,
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”","Pablo Neruda,",39610,
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”","douglas adams,",39194,
"“Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.”","Groucho Marx,",37954,
“I solemnly swear that I am up to no good.”,"J.K. Rowling,",37601,
“I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.”,Albert Einstein,37547,
"“Love all, trust a few,Do wrong to none: be able for thine enemyRather in power than use; and keep thy friendUnder thy own life's key: be check'd for silence,But never tax'd for speech.”","William Shakespeare,",37107,
“Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.”,"Neil Gaiman,",36858,
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,36781,
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”","George R.R. Martin,",35379,
"“A day without sunshine is like, you know, night.”",Steve Martin,35243,
"“Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.”",Lao Tzu,34564,
“Never put off till tomorrow what may be done day after tomorrow just as well.”,Mark Twain,34506,
"“The Paradoxical CommandmentsPeople are illogical, unreasonable, and self-centered.Love them anyway.If you do good, people will accuse you of selfish ulterior motives.Do good anyway.If you are successful, you will win false friends and true enemies.Succeed anyway.The good you do today will be forgotten tomorrow.Do good anyway.Honesty and frankness make you vulnerable.Be honest and frank anyway.The biggest men and women with the biggest ideas can be shot down by the smallest men and women with the smallest minds.Think big anyway.People favor underdogs but follow only top dogs.Fight for a few underdogs anyway.What you spend years building may be destroyed overnight.Build anyway.People really need help but may attack you if you do help them.Help people anyway.Give the world the best you have and you'll get kicked in the teeth.Give the world the best you have anyway.”","Kent M. Keith,",34265,
“That which does not kill us makes us stronger.”,Friedrich Nietzsche,33908,
“You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...”,"Dr. Seuss,",33850,
“It is never too late to be what you might have been.”,George Eliot,33677,
“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,32846,
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,32371,
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”","J.K. Rowling,",32206,
“I love deadlines. I love the whooshing noise they make as they go by.”,"Douglas Adams,",32110,
"“I'm not upset that you lied to me, I'm upset that from now on I can't believe you.”",Friedrich Nietzsche,31414,
"“If you judge people, you have no time to love them.”",Mother Teresa,31348,
“There is no greater agony than bearing an untold story inside you.”,"Maya Angelou,",31315,
"“There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.”","Sarah Dessen,",31226,
"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,31145,
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”","Haruki Murakami,",31000,
“Love is that condition in which the happiness of another person is essential to your own.”,"Robert A. Heinlein,",30714,
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,30159,
“Everything you can imagine is real.”,Pablo Picasso,29816,
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,29749,
"“Women and cats will do as they please, and men and dogs should relax and get used to the idea.”",Robert A. Heinlein,28759,
"“We don't see things as they are, we see them as we are.”",Anaïs Nin,28663,
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,28274,
"“You love me. Real or not real?""I tell him, ""Real.”","Suzanne Collins,",28133,
“Sometimes the questions are complicated and the answers are simple.”,Dr. Seuss,28107,
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,27803,
“Never trust anyone who has not brought a book with them.”,"Lemony Snicket,",27764,
“We read to know we're not alone.”,"William Nicholson,",27027,
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,27007,
"“Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.”","John Green,",26918,
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,26762,
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,26424,
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”","J.K. Rowling,",26319,
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”","Dr. Seuss,",25737,
“I'm not afraid of death; I just don't want to be there when it happens.”,Woody Allen,25613,
"“If one cannot enjoy reading a book over and over again, there is no use in reading it at all.”",Oscar Wilde,25521,
"“To the well-organized mind, death is but the next great adventure.”","J.K. Rowling,",25400,
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all—in which case, you fail by default.”",J.K. Rowling,25264,
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,25189,
"“I'm in love with you,"" he said quietly.""Augustus,"" I said.""I am,"" he said. He was staring at me, and I could see the corners of his eyes crinkling. ""I'm in love with you, and I'm not in the business of denying myself the simple pleasure of saying true things. I'm in love with you, and I know that love is just a shout into the void, and that oblivion is inevitable, and that we're all doomed and that there will come a day when all our labor has been returned to dust, and I know the sun will swallow the only earth we'll ever have, and I am in love with you.”","John Green,",24774,
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,24676,
"“I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..”","Nicholas Sparks,",24438,
"“Whenever I feel the need to exercise, I lie down until it goes away.”",Paul   Terry,24397,
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,24306,
“Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are.”,"Markus Zusak,",24257,
"“Have you fallen in love with the wrong person yet?'Jace said, ""Unfortunately, Lady of the Haven, my one true love remains myself.""...""At least,"" she said, ""you don't have to worry about rejection, Jace Wayland.""""Not necessarily. I turn myself down occasionally, just to keep it interesting.”","Cassandra Clare,",24252,
"“Love looks not with the eyes, but with the mind; And therefore is wing'd Cupid painted blind. Nor hath love's mind of any judgment taste; Wings and no eyes figure unheedy haste: And therefore is love said to be a child, Because in choice he is so oft beguil'd.”","William Shakespeare,",24134,
“You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.”,"John Green,",24007,
"“Do what you can, with what you have, where you are.”",Theodore Roosevelt,23793,
“Folks are usually about as happy as they make their minds up to be.”,Abraham Lincoln,23768,
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”","Dr. Seuss,",23704,
“There is no friend as loyal as a book.”,Ernest Hemingway,23572,
“The story so far:In the beginning the Universe was created.This has made a lot of people very angry and been widely regarded as a bad move.”,"Douglas Adams,",23376,
"“Success is not final, failure is not fatal: it is the courage to continue that counts.”",Winston S. Churchill,23289,
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,23165,
"“I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”",Groucho Marx,23104,
"“Love is like the wind, you can't see it but you can feel it.”","Nicholas Sparks,",22856,
"“So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”","Stephen Chbosky,",22851,
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”","Jane Austen,",22824,
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,22801,
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,22697,
"“Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”",Shel Silverstein,22586,
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,22412,
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,22398,
"“If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.”","Joan Powers,",22247,
"“You don't love someone because they're perfect, you love them in spite of the fact that they're not.”","Jodi Picoult,",22214,
"“People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life.A true soul mate is probably the most important person you'll ever meet, because they tear down your walls and smack you awake. But to live with a soul mate forever? Nah. Too painful. Soul mates, they come into your life just to reveal another layer of yourself to you, and then leave.A soul mates purpose is to shake you up, tear apart your ego a little bit, show you your obstacles and addictions, break your heart open so new light can get in, make you so desperate and out of control that you have to transform your life, then introduce you to your spiritual master...”","Elizabeth Gilbert,",22185,
"“Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”",Anais Nin,21987,
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”","J.D. Salinger,",21978,
"“It matters not what someone is born, but what they grow to be.”","J.K. Rowling,",21717,
"“Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.”",John Green,21712,
“Not all those who wander are lost.”,"J.R.R. Tolkien,",21636,
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,21595,
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,21565,
"“We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.”","Robert Fulghum,",21548,
“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas-fils,21543,
“It is what you read when you don't have to that determines what you will be when you can't help it.”,Oscar Wilde,21475,
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","Terry Pratchett,",21366,
“Do one thing every day that scares you.”,Eleanor Roosevelt,21276,
"“I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.”","Virginia Woolf,",21224,
"“You don’thavea soul, Doctor. Youarea soul. Youhavea body, temporarily.”","Walter M. Miller Jr.,",21189,
“Some infinities are bigger than other infinities.”,"John Green,",21173,
"“One must always be careful of books,"" said Tessa, ""and what is inside them, for words have the power to change us.”","Cassandra Clare,",21147,
"“I wish it need not have happened in my time,"" said Frodo.""So do I,"" said Gandalf, ""and so do all who live to see such times. But that is not for them to decide. All we have to decide is what to do with the time that is given us.”","J.R.R. Tolkien,",21090,
“Reality continues to ruin my life.”,"Bill Watterson,",21088,
“Time you enjoy wasting is not wasted time.”,"Marthe Troly-Curtin,",20958,
“Things change. And friends leave. Life doesn't stop for anybody.”,"Stephen Chbosky,",20894,
"“If there's a book that you want to read, but it hasn't been written yet, then you must write it.”",Toni Morrison,20602,
"“There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”","Cassandra Clare,",20451,
